issuekey,title,description,storypoint
DURACLOUD-746,sync tool add option overwrite changed files,task add option sync tool ensures overwrite existing duracloud content means file local file system previously added duracloud changes simply uploaded choices need made new feature added file already duracloud changes file system updated file transferred duracloud original file likely need renamed prevent collision list updated files communicated user printed console stdout written file consistent interactive mode runtocompletion mode feature impact upload tool comment state north carolina envision feature ideal upload tool would allow specify local directory update cloud tool would identify upload new files new files defined file name path alert files changed file name path new checksum hash upload files changed upload way doesnt overwrite files cloud would want make sure process uploading content kept totally separate risk editing existing content storage,2
DURACLOUD-747,duponchange add option default duplication setting handle newly created spaces,updates duplicateonchange service longer duplicates newly created spaces fine multitenant instances enterprise instances users may adding new spaces frequently,2
DURACLOUD-748,download multiple items zip tar archival file,feature sprung mind driven user requests seemed would handy especially search index listing content items idea might useful able download multiple content items one zip archive would especially useful one needed extract large number small files could select items either based search query list contentids envisioning would work durastore well duradmin levels would issue request archive immediately receive handle one could optionally specify email address handle would enable get status request request complete email address specified user would receive email link download page otherwise download uri would available via status query using request handle archive downloaded verified user could make call remove download site call made standard expiration time download would removed automatically regarding limits initially total size limit would constrained available server side disk space obviously going work extremely large downloads greater gbs,5
DURACLOUD-751,large bit integrity reports cannot displayed,spaces large amount content option view service report nice table work option presented green health check bar well services tab report link selected one large spaces brings white display box user waits rather long time duradmin attempting read entire report file memory displayed eventually error shown indicating enough memory available fix size report file checked size reasonable threshold report link perform file download raw report rather attempting display chart,1
DURACLOUD-752,utf support content properties,appears utf characters supported content properties test add following properties content item,1
DURACLOUD-754,aws glacier,feature expose aws glacier option content storage,6
DURACLOUD-755,secondary storage provider read via,synchronization content storage providers becomes automated duracloud becomes unnecessary users edit content secondary provider order maintain assurance content remains consistent providers ability users make changes secondary storage provider removed would still able view download content addupdatedelete operations would allowed task update duradmin ensure users role useradminowner write access secondary stores,2
DURACLOUD-756,message consumers disconnecting,issue different reasons jms connections used listen messages brokers hosted durastoreduraservice disconnect cease receive messages recorded duplicate change service seen stack traces attached file results duplicate change service rendered essentially useless likely also cause similar issues auditor stops recording changes audit log,1
DURACLOUD-757,content properties overwritten content stream changes,content item changes locally resynced duracloud custom metadata properties tags wiped reproduce follow steps add file using upload applet add custom property tag content item change file local machine adding text end resync using upload applet verify content metadata longer another symptom problem log userx initial content item creation login usery uploading changed content item notice creator property changes userx usery,1
DURACLOUD-758,check box near space name,duradmin space name left checkbox users expect selecting check box perform action selecting space name text instead selecting checkbox one space brings multiselect display user ucarncar recently caught issue could understand listing content items showing contacted carissa assistance task discover implement alternative current functionality described easily understandable carissa three users within past month misunderstanding selecting checkbox next space name would allow view content time field either support email call explain select checkbox next space name view content add content edit content etc click name selecthighlight space view content ideally either clicking directly checkbox space name select space add checkmark actions behave identically display content space associated actions two actions lose delete selected space edit properties space level believe determine another way options appear,2
DURACLOUD-759,sync tool hidden password option,task provide option sync tool allow users supply duracloud password way via command line options reason issue full command used run sync tool remains available process list machine sync tool running suggested fix concern allow users define environment variable contains duracloud password would picked sync tool option provided,1
DURACLOUD-760,make use durable subscriptions messaging connections,task introduce use durable subscriptions place standard topic subscriptions order better assurance messages lost event interruption jms connection failover directive currently use allows connections reestablished potential messages sent time connection missed information found,2
DURACLOUD-761,auditor receiving messages,auditor well service reporter part duraboss receiving messages instances,2
DURACLOUD-763,notification email address validation needs work,reported dan galewsky regex used validate email address duraboss used send notification emails events properly handle valid email addresses particular example provided setting value initproperties durabossnotificationoriginatoruseraustinutexasedu causes error fromaddress valid notification useraustinutexasedu issue regular expression used amazonnotificationfactoryjava fails valid email addresses like one,1
DURACLOUD-764,ability easily share links duracloud content,simple way share content stored duracloud something like share buttonfeature spacescontent items stored duracloud would likely work initially could content open spaces would keep users manually find storage url content item find way share instead user could presented popup window could configured send email perhaps generate embeddable html code feature would make duracloud convenient platform sharing large files otherwise difficult share large email pass around via feature would notionally similar dropbox links,2
DURACLOUD-766,synctool error,issue reported bryan beecher dec time using latest sync tool trunk seeing seemingly unending series errors like javautilsublistaddabstractlistjava written stdoutstderr window run synctool dont see anything obvious synctool log files account error cant read status display synctool tell things working despite error train gone tracks errors persist across restarts ive tried couple times including removing contents log directory reverting back version cleared problem,2
DURACLOUD-767,use bucket tags system space properties remove feature allowing users set space properties,new glacier storage provider brought back light missing ability amazon set properties bucket level point used file bucket store duracloud space properties work glacier model file archived glacier along content current customers making use space properties issue resolved two steps make use bucket tags store properties generated durastore space created remove setspaceproperty feature step necessary limitations bucket tags tags allowed none characters would possible allow limited number metadatatags provided user using limited character set fact feature currently use suggests simply needed,6
DURACLOUD-768,bit integrity tools service report created empty spaces,running bit integrity tools service space content items completes successfully link report file report file actually exist note problem reported resolved duracloud appears reintroduced task ensure bit integrity reports get generated stored xserviceout empty spaces,1
DURACLOUD-769,remove space properties tags duradmin,order support bills strategy glacier see duracloud,1
DURACLOUD-771,expose ability retrieve content items glacier duradmin,duracloud adds ability use glacier storage provider glacier requires additional steps able retrieve content compared duracloud storage providers task expose additional steps via,2
DURACLOUD-772,glacier provide way users perform limited file retrievals,glacier storage provider allows low cost storage retrieval costs add quickly task limit ability users request content retrievals way minimize risk high costs,2
DURACLOUD-773,allow glacier used primary storage provider,task allow amazon glacier primary provider duracloud rather amazon,3
DURACLOUD-774,pull upsync tool duracloud baseline,task copy upsync tool dfr codebase duracloud codebase order expose duracloud feature order ongoing development occur transferred tool tested duracloud technical nontechnical staff ensure easily installed functions properly usability issues,4
DURACLOUD-775,make clientside tools easily available,task update duradmin provide obvious links allow users download clientside tools sync tool upload tool upsync retreival tool,2
DURACLOUD-776,option retrieval tool set time stamps retrieved files,duracloud allows sync tool preserve local time stamp information duracloud content item properties task add option retrieval tool set time stamps files retrieved assuming files time stamp information recorded duracloud,2
DURACLOUD-778,handle glacier storage state errors gracefully,content stored glacier attempts download view copy edit properties content result error http status task provide users useful feedback attempt actions content item glacier specifically call made glacier content item via storeclient contentstateexception thrown content item recently added retrieved glacier simply download expected task show user appropriate error message indicating content glacier error message indicate user contact duracloud support wish retrieve content item,1
DURACLOUD-780,sync tool include top level directory optionflag,requests several trial customer users synchronization tool provide configuration optionflag entire directory path included upon upload currently top level directory ignored persisted naming content items uploaded via sync tool new flag sync tool would enable entire folder structure included name uploaded content,1
DURACLOUD-781,synctoolui advance config,task add advanced config options sync tool particular user able set connection port well ability select sync deletes option,2
DURACLOUD-784,update duracloud latest activemq,duracloud dependency pom activemq old version version formally support java supported duracloud particular specialized settings needed work java security duracloud tested using activemq update require little effort little impact,1
DURACLOUD-786,synctoolui allow removing sync directories initial config,currently walking initial setup wizard synctool select sync directory file accidentally way remove except cancel start wizard task allow selected directories files removed config update area,2
DURACLOUD-787,inconsistent glacier errors root users duradmin,root users attempting edit copy edit metadata file glacier get inconsistent failure errors,1
DURACLOUD-788,synctoolui notify user restart required change configuration,configuration tab changing configuration take effect stopstart cycle tool indicated user option provided perform stopstart wait,2
DURACLOUD-790,issues,following issues discovered using duradmin via testing release attempting retrieve glacier stored content item show expected notice message seen firefox chrome instead displays message website busy show webpage filtering content item names work space refresh performed selection space forgotten display responds spaces tab selected,2
DURACLOUD-794,synctoolui allow clearing errors,task provide way synctoolui clear errors noted errors list,1
DURACLOUD-798,synctool stop promptly user clicks stop,currently tool remains stopping state currently active transfers complete,2
DURACLOUD-800,synctoolui better feedback user without write permissions space,synctoolui updated provide better feedback users selected space sync permissions write since simple way collect information front task pay attention exceptions coming back sync activity determine likely result lacking permissions provide information user allow aware problem suggested resolution,1
DURACLOUD-801,shibboleth add access denied page,improvement dependent shibboleth branch duracloudbranded page rendered authenticated user authorized access duracloud tries log,1
DURACLOUD-802,shibboleth logout,improvement dependent shibboleth branch user logs heshe redirected page specifies complete logout requires closing browser ala,1
DURACLOUD-803,duracloud instance hitting disk utilization,initial issue running synctool set files sync rate slowed files transferred per minutes less per minutes reason slow reason rate dropped instance storage space become consumed major culprit catalinaout catalinaout files mntlogtomcat reason isnt much space available turns ebs instance well ebs instances longer include ephemeral storage space default expected mnt mounted large ephemeral storage drive case info,1
DURACLOUD-804,use jclouds library calls openstack providers,current openstack storage provider implementation uses client originally provided rackspace discontinued well jclouds library client recommended rackspace java development task update openstack rackspace storage providers use jclouds,5
DURACLOUD-805,perform bulk action deletion maximum spaces time,today went cleanup old demotest content dspacetestduracloudorg selected multiple spaces found matter many spaces selected total always read spaces selected even worse selected total spaces clicked delete selected spaces button first spaces selected deleted kept seems though multiselect option captures first two spaces selectafter selections ignored carissa verified also seems occur demoduracloudorg,1
